,[Measurement,Info,Unnamed: 2,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
339,19:14:57,40.008124,116.477804,-76.87857142857143,-95.00400000000002,-98.17300000000003,-106.266,-102.46499999999996,-117.66300000000001,-119.39999999999995,-119.727,-118.73,-119.57778571428575
340,19:14:58,40.008124,116.477804,-81.42448979591833,-95.37699999999997,-96.84000000000003,-105.90799999999996,-100.16899999999995,-116.92599999999999,-119.81100000000004,-119.77000000000002,-118.41100000000002,-119.26524489795912
341,19:14:58,40.008124,116.477804,-76.71836734693876,-88.722,-93.495,-100.77100000000004,-103.795,-117.93800000000005,-119.045,-119.55199999999995,-118.433,-119.38618367346939
342,19:14:58,40.008124,116.477803,-68.71632653061226,-88.00399999999998,-93.99200000000002,-100.95099999999996,-107.16,-118.80099999999999,-119.76700000000002,-119.741,-118.48599999999996,-118.6911632653061
344,19:14:58,40.008124,116.477803,-67.9969387755102,-85.26100000000002,-91.39800000000001,-95.31299999999999,-95.46600000000004,-118.68199999999999,-119.19799999999994,-119.65300000000003,-118.69100000000002,-118.3689693877551
345,19:14:59,40.008124,116.477803,-66.41632653061222,-85.75399999999998,-87.0,-95.763,-94.51199999999997,-118.88000000000002,-119.30200000000002,-119.80899999999994,-117.98200000000008,-118.67316326530614
346,19:14:59,40.008124,116.477803,-68.03775510204082,-87.49600000000001,-86.79399999999994,-93.25599999999999,-94.64399999999999,-118.17199999999997,-118.27,-119.30999999999996,-119.07099999999998,-118.89637755102046
348,19:14:59,40.008124,116.477803,-68.95102040816326,-87.417,-88.35799999999996,-87.92199999999998,-97.77399999999997,-119.01500000000006,-119.59899999999999,-119.79500000000002,-118.83799999999994,-118.5805102040816
349,19:15:00,40.008124,116.477803,-72.23877551020406,-85.90799999999999,-90.55199999999996,-89.29799999999999,-94.025,-118.98399999999997,-119.72699999999999,-119.99599999999998,-119.01899999999999,-119.40238775510207
350,19:15:00,40.008124,116.477803,-68.38673469387754,-84.92200000000001,-88.32300000000001,-91.22500000000004,-90.86099999999995,-118.84000000000006,-119.24600000000002,-119.67800000000001,-117.961,-118.55586734693874
351,19:15:00,40.008124,116.477803,-65.9795918367347,-82.76100000000002,-81.16600000000003,-86.90599999999999,-89.06000000000002,-118.28399999999998,-118.88500000000002,-119.20700000000001,-117.337,-115.05579591836737
352,19:15:01,40.008124,116.477803,-62.85204081632652,-84.71400000000001,-81.67199999999997,-83.17200000000001,-90.39499999999997,-117.045,-118.441,-118.37799999999999,-115.682,-113.41652040816325
353,19:15:01,40.008124,116.477803,-63.60102040816327,-84.194,-80.885,-82.93400000000003,-87.183,-118.26000000000002,-118.47499999999998,-118.88800000000003,-118.08200000000001,-117.08001020408163
354,19:15:01,40.008124,116.477803,-64.37346938775511,-82.653,-81.633,-82.56300000000002,-87.31900000000003,-118.15700000000002,-119.08100000000005,-119.25200000000002,-118.375,-116.24173469387758
356,19:15:01,40.008124,116.477802,-63.23877551020404,-82.13999999999999,-82.64200000000008,-81.79,-84.0,-116.012,-118.36099999999996,-117.98399999999992,-117.557,-117.31138775510207
357,19:15:02,40.008124,116.477802,-64.61836734693878,-82.31699999999996,-81.82,-85.41699999999999,-84.64400000000005,-117.78299999999999,-118.45500000000001,-118.45800000000003,-118.25100000000006,-117.73718367346939
358,19:15:02,40.008124,116.477802,-63.94387755102042,-84.241,-82.59399999999998,-86.02599999999997,-84.90900000000002,-117.19,-118.08,-118.748,-118.102,-117.19643877551017
360,19:15:02,40.008124,116.477803,-63.80102040816328,-83.82099999999998,-81.45800000000003,-82.34800000000004,-84.00700000000002,-117.38300000000002,-118.29999999999998,-118.73400000000001,-117.10199999999998,-118.66101020408165
361,19:15:03,40.008123,116.477804,-68.49489795918369,-82.97899999999998,-84.07,-83.34600000000005,-83.08599999999998,-117.65099999999998,-118.29,-118.999,-118.38100000000006,-118.24794897959178
362,19:15:04,40.008122,116.477806,-67.56632653061223,-84.78400000000003,-83.844,-86.058,-83.22599999999998,-116.62600000000003,-117.98699999999997,-118.87299999999998,-119.76300000000009,-119.14366326530613
363,19:15:04,40.008121,116.477806,-68.94081632653065,-89.90199999999997,-84.39099999999996,-83.79700000000003,-83.34,-116.17700000000005,-117.78800000000001,-119.04900000000004,-117.88400000000001,-114.64240816326532
